tag,C,class_weight,tol,degree,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,,0.1,1,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6504950237964993,0.422443605332188
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,,0.1,1,0.01,0,3,0.45821325648414984,0.39202717207782606,0.45821325648414984,0.3038723173814529,0.6189350502464577,0.36628525989241906
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,,0.1,1,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6569556491212166,0.4125486363665605
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=0,0.1,,0.1,1,0.01,0,5,0.45314752522825563,0.328266002750667,0.45314752522825563,0.3112340298421225,0.6609406704703021,0.4258161472237426
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,,0.1,1,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5862410184614486,0.35171414166705445
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,,0.1,1,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6531739144138966,0.425546291455403
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,,0.1,1,0.01,3,3,0.45821325648414984,0.39202717207782606,0.45821325648414984,0.3038723173814529,0.6176338845306499,0.36251087331816595
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,,0.1,1,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6619745204458627,0.4162588116228058
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.01 | coef0=3,0.1,,0.1,1,0.01,3,5,0.4541086016338299,0.32544200902089593,0.4541086016338299,0.31670564022557623,0.6603103723499912,0.42530578731140145
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,,0.1,1,0.5,0,1,0.45244956772334294,0.2926443765195265,0.45244956772334294,0.33803822678355677,0.695914474049118,0.45986420936232897
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,,0.1,1,0.5,0,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6890590658671247,0.46731132636712513
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,,0.1,1,0.5,0,3,0.4457252641690682,0.28029305865258963,0.4457252641690682,0.3289451937497124,0.6689468845559072,0.4389679021697561
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,,0.1,1,0.5,0,4,0.4510086455331412,0.2889884815164509,0.4510086455331412,0.3323528407821996,0.6861863464381148,0.45144990779155675
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=0,0.1,,0.1,1,0.5,0,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.6752545553401277,0.44931104181723414
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=3,0.1,,0.1,1,0.5,3,1,0.45244956772334294,0.2926443765195265,0.45244956772334294,0.33803822678355677,0.6954058335717431,0.45812910236280613
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=3,0.1,,0.1,1,0.5,3,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6887065142939917,0.46744234805753104
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=3,0.1,,0.1,1,0.5,3,3,0.4452449567723343,0.27990523782551296,0.4452449567723343,0.3286434257131613,0.6717822921188896,0.43800517693717955
C=0.1 | class_weight=None | tol=0.1 | degree=1 | gamma=0.5 | coef0=3,0.1,,0.1,1,0.5,3,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.6865274396008174,0.4512210639903442
