tag,C,class_weight,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | tol=0.1,0.1,balanced,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.6809835006084815,0.4543275319158624
C=10 | class_weight=balanced | tol=0.1,10.0,balanced,0.1,1,0.35878962536023057,0.49104915410367794,0.35878962536023057,0.33763387760703656,0.6817341500385753,0.4553678338227274
C=10 | class_weight=balanced | tol=0.1,10.0,balanced,0.1,2,0.366954851104707,0.5435366180623138,0.366954851104707,0.3516980654623807,0.6921016012690329,0.47504483419085036
C=10 | class_weight=balanced | tol=0.1,10.0,balanced,0.1,3,0.36935638808837656,0.5331051993869459,0.36935638808837656,0.3548725039214741,0.6685777105933015,0.45022466373460707
C=10 | class_weight=balanced | tol=0.1,10.0,balanced,0.1,4,0.37079731027857826,0.5087817627352275,0.37079731027857826,0.34805798058146153,0.6810940494572988,0.4608308836528481
C=10 | class_weight=balanced | tol=0.1,10.0,balanced,0.1,5,0.3589620374819798,0.4984624542232169,0.3589620374819798,0.3324444534061647,0.6704307427535074,0.44752789582977937
C=10 | class_weight=balanced | tol=10,10.0,balanced,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=10 | class_weight=balanced | tol=10,10.0,balanced,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=10 | class_weight=balanced | tol=10,10.0,balanced,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=10 | class_weight=balanced | tol=10,10.0,balanced,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=10 | class_weight=balanced | tol=10,10.0,balanced,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=10 | class_weight=None | tol=0.1,10.0,,0.1,1,0.45244956772334294,0.2926443765195265,0.45244956772334294,0.33803822678355677,0.6961640463525479,0.4596048683955226
C=10 | class_weight=None | tol=0.1,10.0,,0.1,2,0.45004803073967337,0.2852688959032029,0.45004803073967337,0.33281699240622603,0.6899830571253226,0.4759985583346536
C=10 | class_weight=None | tol=0.1,10.0,,0.1,3,0.44668587896253603,0.2810736363635132,0.44668587896253603,0.3295488274025988,0.6834433084936189,0.4500479537374671
C=10 | class_weight=None | tol=0.1,10.0,,0.1,4,0.4510086455331412,0.2887805046143662,0.4510086455331412,0.3323705271797423,0.6855691015150409,0.4411471828354099
C=10 | class_weight=None | tol=0.1,10.0,,0.1,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.663766959877784,0.4290731070130605
C=10 | class_weight=None | tol=10,10.0,,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=10 | class_weight=None | tol=10,10.0,,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=10 | class_weight=None | tol=10,10.0,,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=10 | class_weight=None | tol=10,10.0,,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=10 | class_weight=None | tol=10,10.0,,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
