tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,,ovr,0.1,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.60206012384425,0.38631857104211764
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,,ovr,0.1,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.6093527242437927,0.3950794560502777
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,,ovr,0.1,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.6018961271798633,0.37849576030027754
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=0,0.1,,ovr,0.1,0.01,0,5,0.45314752522825563,0.3882694955580328,0.45314752522825563,0.2916940543870892,0.6108613591467761,0.3937224859350398
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,,ovr,0.1,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5925566386042935,0.3356553898342195
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,,ovr,0.1,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5923086516208146,0.34625564966215916
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,,ovr,0.1,0.01,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5850788790978996,0.348786215289604
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,,ovr,0.1,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5806934473747446,0.3388515025802255
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.01 | coef0=3,0.1,,ovr,0.1,0.01,3,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5704266264677339,0.3302096025436709
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,,ovr,0.1,0.5,0,1,0.228626320845341,0.20258201181838914,0.228626320845341,0.20596747465091883,0.6600026133235887,0.44742490424867004
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,,ovr,0.1,0.5,0,2,0.23150816522574447,0.210603783241319,0.23150816522574447,0.21101609743512126,0.6408763432528574,0.42916279763065046
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,,ovr,0.1,0.5,0,3,0.20509125840537945,0.19336938748607918,0.20509125840537945,0.19291020666314362,0.6547838352144905,0.44419548120438057
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,,ovr,0.1,0.5,0,4,0.23246878001921228,0.21410718103481002,0.23246878001921228,0.2134580639842963,0.6493136406659296,0.44220090015528857
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=0,0.1,,ovr,0.1,0.5,0,5,0.23065833733781835,0.2096006158087312,0.23065833733781835,0.21002427620963707,0.6501674327565944,0.44175009611415
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,,ovr,0.1,0.5,3,1,0.23919308357348704,0.23393794593391298,0.23919308357348704,0.23376097771812335,0.5887998439444163,0.3619430644566906
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,,ovr,0.1,0.5,3,2,0.25600384245917385,0.2609785301071774,0.25600384245917385,0.24729355363116753,0.591651669751077,0.36999119743449105
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,,ovr,0.1,0.5,3,3,0.22622478386167147,0.22740829157150724,0.22622478386167147,0.22493408819614813,0.593369766890839,0.41380536893514636
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,,ovr,0.1,0.5,3,4,0.24879923150816521,0.24218058900846393,0.24879923150816521,0.24041130099976055,0.6062921964829041,0.38477166466310725
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.5 | coef0=3,0.1,,ovr,0.1,0.5,3,5,0.3344545891398366,0.2864089131454971,0.3344545891398366,0.2992177116766405,0.6021592695073126,0.360324984699703
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,,ovr,10.0,0.01,0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,,ovr,10.0,0.01,0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,,ovr,10.0,0.01,0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,,ovr,10.0,0.01,0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=0,0.1,,ovr,10.0,0.01,0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,,ovr,10.0,0.01,3,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,,ovr,10.0,0.01,3,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,,ovr,10.0,0.01,3,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01 | coef0=3,0.1,,ovr,10.0,0.01,3,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
