tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6857142857142857,0.7376610540435595,0.6857142857142857,0.6591778591778591,0.9315183667472389,0.864825347699227
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,3,0.9326923076923077,0.9338942307692307,0.9326923076923077,0.9319490804548196,0.9937696806117859,0.9791149846539621
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,4,0.8846153846153846,0.8911539588231319,0.8846153846153846,0.8853537087912087,0.9720197930724246,0.9405953124509232
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.1,,5,0.8365384615384616,0.8433150183150183,0.8365384615384616,0.8340617715617716,0.9697082118049397,0.9462597865615648
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,1,0.5523809523809524,0.534765485141425,0.5523809523809524,0.5363493464464338,0.8154428030728633,0.6687277923956567
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,2,0.5961538461538461,0.565356334841629,0.5961538461538461,0.5582468427577123,0.7856245902169534,0.6393303325729843
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,3,0.5961538461538461,0.5729652164221447,0.5961538461538461,0.5465610244456397,0.8219696268070881,0.6695011683021619
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,4,0.5673076923076923,0.5417790542790543,0.5673076923076923,0.5448520222945333,0.7360544765214527,0.547232054153921
n_estimators=100 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.1,10,5.0,,5,0.6057692307692307,0.5929881521986785,0.6057692307692307,0.5761446886446887,0.7389176490942406,0.584113688409094
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,1,0.780952380952381,0.7837769025738951,0.780952380952381,0.7749094304388423,0.9445484577187444,0.8958075264725922
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,2,0.8365384615384616,0.8238927738927739,0.8365384615384616,0.8236122161679368,0.9578633875202502,0.9019578039855417
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,3,0.9230769230769231,0.9242307692307693,0.9230769230769231,0.9207744138403752,0.9921464987254461,0.978280604090878
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,4,0.8557692307692307,0.8624512329775487,0.8557692307692307,0.8562832785770929,0.9691083120907682,0.9387927894192443
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,,5,0.8173076923076923,0.8074737762237761,0.8173076923076923,0.8056058378646451,0.9689849285508694,0.9448941848241641
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,1,0.5714285714285714,0.5522344322344322,0.5714285714285714,0.5404479013174666,0.8229591535571092,0.6802192516567808
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,2,0.6346153846153846,0.6193001306516948,0.6346153846153846,0.5998513220495979,0.8070433436532507,0.6530036091765982
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,3,0.6057692307692307,0.5720790647261235,0.6057692307692307,0.5426294975186104,0.7974032985513893,0.6450101942916511
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,4,0.5673076923076923,0.530849358974359,0.5673076923076923,0.5347755872541674,0.7459231180851409,0.5470370926655694
n_estimators=500 | learning_rate=0.01 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.01,4,5.0,,5,0.5769230769230769,0.5660044480019454,0.5769230769230769,0.5322205446639836,0.736958516806588,0.566343143323468
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.01,10,0.1,,1,0.8,0.8054952195303071,0.8,0.7948758169934641,0.9463906852326789,0.8982673814099003
