tag,hidden_units,dropout,learning_rate,batch_size,epochs,fold,accuracy,precision,recall,F1,auroc,prauc
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,1,0.8703170028818443,0.8711584194360462,0.8703170028818443,0.8705731758912697,0.9813002770045496,0.9508336770242735
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,1,0.8722382324687801,0.8753435925377654,0.8722382324687801,0.8729610342844326,0.982914415853855,0.9538233586540106
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,2,0.866474543707973,0.869375163741158,0.866474543707973,0.8667882179086799,0.9839927312936174,0.9554411269780606
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,3,0.8852065321805955,0.8872700588442684,0.8852065321805955,0.8856520525171233,0.9854942610920415,0.9591516015331475
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,4,0.8621517771373679,0.8625175413676472,0.8621517771373679,0.8622848722999915,0.9832250342737272,0.9557140247599718
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,5,0.8611244593945219,0.8620591719938466,0.8611244593945219,0.8613040597386998,0.980941147906642,0.9478294179536775
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,1,0.7929875120076849,0.7936044845488134,0.7929875120076849,0.7911046974587848,0.9562398801636975,0.8912119349652309
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,2,0.8179634966378482,0.8222803000822763,0.8179634966378482,0.8175150574717126,0.9625213323465853,0.906487727905515
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,3,0.8208453410182517,0.8203599667387752,0.8208453410182517,0.8187873441279159,0.9680866393197962,0.915990268415807
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,4,0.8107588856868396,0.8109402995068018,0.8107588856868396,0.8093015421568402,0.9648883740708413,0.9102485442790853
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,5,0.8149927919269582,0.8179836629320996,0.8149927919269582,0.8147312079990369,0.9624320758787526,0.9027871137605744
