tag,n_estimators,learning_rate,max_depth,rate_drop,skip_drop,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,100,0.01,4,0.1,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.9286629322696016,0.8438220267707557
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.1,10,0.1,0.1,4,0.9087415946205571,0.9090864907298958,0.9087415946205571,0.9086324236812531,0.9872585711991998,0.9688208444607763
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.1,100,0.1,10,0.1,0.1,5,0.8909178279673234,0.8916610415005982,0.8909178279673234,0.8908758269070157,0.9843719878912702,0.9592103240697002
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.1,10,0.1,0.5,1,0.9212295869356388,0.9220092220300513,0.9212295869356388,0.9213623824742292,0.9919023997359667,0.978442224335131
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.1,10,0.1,0.5,2,0.9178674351585014,0.9188656613309888,0.9178674351585014,0.9181530362712781,0.9918348654514472,0.9770980873345464
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.1,10,0.1,0.5,3,0.9183477425552353,0.9189193707302081,0.9183477425552353,0.9185769134523318,0.9909501731545014,0.9755705566325017
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.1,10,0.1,0.5,4,0.9169068203650336,0.9173768126484634,0.9169068203650336,0.9170383868611861,0.9909639756286417,0.9751550677744716
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.1 | skip_drop=0.5,100,0.1,10,0.1,0.5,5,0.8981259010091303,0.8981606577440938,0.8981259010091303,0.8979789861271923,0.9885831110268871,0.9678925559656761
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.1,10,0.5,0.1,1,0.8957732949087416,0.8956694521197139,0.8957732949087416,0.8951758542417027,0.9864733621348355,0.9674391606065207
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.1,10,0.5,0.1,2,0.8976945244956772,0.897482408736363,0.8976945244956772,0.8969540572468055,0.986424709513538,0.9657912995055767
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.1,10,0.5,0.1,3,0.8967339097022095,0.8966211585438452,0.8967339097022095,0.8959248606949692,0.9859839323504668,0.9637152004548334
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.1,10,0.5,0.1,4,0.9039385206532181,0.9039161881229005,0.9039385206532181,0.903436944565011,0.9846281198420817,0.9643961749404819
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.1,100,0.1,10,0.5,0.1,5,0.8832292167227295,0.8838329382909139,0.8832292167227295,0.8826916297661322,0.9821185904416613,0.955518712317122
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.1,10,0.5,0.5,1,0.9183477425552353,0.9190909577698937,0.9183477425552353,0.9185140483370764,0.9920365301282493,0.9787559411949295
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.1,10,0.5,0.5,2,0.9193083573487032,0.9203565863373872,0.9193083573487032,0.9196516808890458,0.9918418224545761,0.9772707564501585
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.1,10,0.5,0.5,3,0.9173871277617676,0.9179391644721271,0.9173871277617676,0.9176140329416248,0.990868721295162,0.975404252329137
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.1,10,0.5,0.5,4,0.9154658981748319,0.9162366916665398,0.9154658981748319,0.9156445685474555,0.990792783844484,0.9743171066839172
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | skip_drop=0.5,100,0.1,10,0.5,0.5,5,0.8995675156174916,0.9002832955762211,0.8995675156174916,0.8996976003779079,0.988462097928831,0.9677609521690548
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,500,0.01,4,0.1,0.1,1,0.600864553314121,0.7362681717279694,0.600864553314121,0.5480154418865394,0.9444408070701527,0.8730097235675464
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,500,0.01,4,0.1,0.1,2,0.5826128722382324,0.7292458350110916,0.5826128722382324,0.5220474036279882,0.9394222126897223,0.8625494791353934
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,500,0.01,4,0.1,0.1,3,0.5504322766570605,0.6252548632038752,0.5504322766570605,0.4634558937695804,0.9404877388491552,0.8666208322486582
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,500,0.01,4,0.1,0.1,4,0.5941402497598463,0.7013370757978811,0.5941402497598463,0.5354495285313811,0.9411788805976701,0.8627573348205955
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.1,500,0.01,4,0.1,0.1,5,0.5800096107640558,0.7082249973478302,0.5800096107640558,0.519241341700681,0.9336939814670364,0.8518489729843691
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,500,0.01,4,0.1,0.5,1,0.8040345821325648,0.8044916822260958,0.8040345821325648,0.8000301737014865,0.9626110309758684,0.9073358708405694
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,500,0.01,4,0.1,0.5,2,0.8270893371757925,0.8298075239407678,0.8270893371757925,0.8233940636060489,0.9637936437030401,0.9122115199431073
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,500,0.01,4,0.1,0.5,3,0.8218059558117194,0.8252216726788699,0.8218059558117194,0.8176662873283461,0.9620054280759586,0.9130521283553922
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,500,0.01,4,0.1,0.5,4,0.8141210374639769,0.8149196583999918,0.8141210374639769,0.8110021086351975,0.9630054079377762,0.9133647916633724
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | skip_drop=0.5,500,0.01,4,0.1,0.5,5,0.80634310427679,0.8085640790931996,0.80634310427679,0.8034712543710288,0.9532151831796712,0.892342110866864
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.5 | skip_drop=0.1,500,0.01,4,0.5,0.1,1,0.5509125840537944,0.6228757806365254,0.5509125840537944,0.46452398107415205,0.9438539947455132,0.8712971733397391
