tag,n_estimators,learning_rate,max_depth,rate_drop,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.5,0.1,,3,0.5192307692307693,0.6612807295796987,0.5192307692307693,0.40937347374847377,0.9741353026440746,0.944689231871869
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.5,0.1,,4,0.5096153846153846,0.659046310832025,0.5096153846153846,0.39038382594417076,0.9579880497708155,0.9055299505141243
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=0.1 | n_measurements=None,100,0.1,10,0.5,0.1,,5,0.4807692307692308,0.42461538461538456,0.4807692307692308,0.3442415017757483,0.9628614759927915,0.9195847399423415
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,10,0.5,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6670821418840698,0.5030609114624573
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,10,0.5,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6606776598778661,0.5001460048768045
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,10,0.5,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6004601330710722,0.4240049316414721
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,10,0.5,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6312704156486407,0.46604247439883406
n_estimators=100 | learning_rate=0.1 | max_depth=10 | rate_drop=0.5 | lambda_=5 | n_measurements=None,100,0.1,10,0.5,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5944606755337919,0.4339946826639282
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.9304906676555027,0.8497182197622535
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9167772897133062,0.8397601519868131
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9785287649322739,0.9567309004201547
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.950102464137552,0.9029186940109426
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=0.1 | n_measurements=None,500,0.01,4,0.1,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.9389424611679528,0.8859220853623648
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,4,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6610422644026289,0.5233407588001927
n_estimators=500 | learning_rate=0.01 | max_depth=4 | rate_drop=0.1 | lambda_=5 | n_measurements=None,500,0.01,4,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6724492383548112,0.5485845135459025
