tag,C,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | lambda_=0.1 | n_measurements=256,0.1,0.1,256,1,0.5396825396825397,0.4405458089668616,0.5396825396825397,0.42614379084967313,0.8072573724560835,0.6749621166424004
C=0.1 | lambda_=5 | n_measurements=1024,0.1,5.0,1024,3,0.4444444444444444,0.19753086419753083,0.4444444444444444,0.27350427350427353,0.7226084742248423,0.5924934891986128
C=0.1 | lambda_=5 | n_measurements=1024,0.1,5.0,1024,4,0.45161290322580644,0.2039542143600416,0.45161290322580644,0.2810035842293907,0.6022526285556669,0.44870009266496347
C=0.1 | lambda_=5 | n_measurements=1024,0.1,5.0,1024,5,0.45161290322580644,0.2039542143600416,0.45161290322580644,0.2810035842293907,0.7046880509419388,0.5251421454226972
C=1 | lambda_=0.1 | n_measurements=256,1.0,0.1,256,1,0.7142857142857143,0.7331569664902997,0.7142857142857143,0.6989445053383673,0.9297734131246483,0.8812498604873726
C=1 | lambda_=0.1 | n_measurements=256,1.0,0.1,256,2,0.7301587301587301,0.744360902255639,0.7301587301587301,0.698539555682413,0.9014699538693856,0.8073521739701726
C=1 | lambda_=0.1 | n_measurements=256,1.0,0.1,256,3,0.7142857142857143,0.7631967515688445,0.7142857142857143,0.6820067301355027,0.8936036235714002,0.8023620311768394
C=1 | lambda_=0.1 | n_measurements=256,1.0,0.1,256,4,0.6129032258064516,0.5886648745519713,0.6129032258064516,0.5955809485286682,0.8410101986465215,0.665960656260123
C=1 | lambda_=0.1 | n_measurements=256,1.0,0.1,256,5,0.6451612903225806,0.6944086021505377,0.6451612903225806,0.6342888859866789,0.8738491151978617,0.8143504980771279
C=1 | lambda_=0.1 | n_measurements=1024,1.0,0.1,1024,1,0.7142857142857143,0.7290043290043289,0.7142857142857143,0.6960020371785077,0.9155337322899083,0.8501923911892402
C=1 | lambda_=0.1 | n_measurements=1024,1.0,0.1,1024,2,0.746031746031746,0.7583347583347584,0.746031746031746,0.7263148374259485,0.927097789826039,0.8528596791607461
C=1 | lambda_=0.1 | n_measurements=1024,1.0,0.1,1024,3,0.7142857142857143,0.7513227513227513,0.7142857142857143,0.6815656117519472,0.9107712592137941,0.8145783963072251
C=1 | lambda_=0.1 | n_measurements=1024,1.0,0.1,1024,4,0.6451612903225806,0.6162493420557937,0.6451612903225806,0.6262505495485515,0.8420209934568055,0.6811525590842463
C=1 | lambda_=0.1 | n_measurements=1024,1.0,0.1,1024,5,0.6612903225806451,0.703374119391917,0.6612903225806451,0.648132427843803,0.8712822140740846,0.809576945566232
C=1 | lambda_=5 | n_measurements=256,1.0,5.0,256,1,0.4603174603174603,0.40512820512820513,0.4603174603174603,0.38011695906432746,0.6790193060003531,0.527711859172993
C=1 | lambda_=5 | n_measurements=256,1.0,5.0,256,2,0.5079365079365079,0.4185185185185185,0.5079365079365079,0.42495126705653025,0.7205363456186366,0.5640134963264997
C=1 | lambda_=5 | n_measurements=256,1.0,5.0,256,3,0.5079365079365079,0.48256681590014927,0.5079365079365079,0.4752827000645877,0.7468035350610452,0.6165164196432676
C=1 | lambda_=5 | n_measurements=256,1.0,5.0,256,4,0.5,0.41021505376344086,0.5,0.4311257981261247,0.6136531013084351,0.4982982175835328
C=1 | lambda_=5 | n_measurements=256,1.0,5.0,256,5,0.4838709677419355,0.4533660589060309,0.4838709677419355,0.4212023082990825,0.6180132791656561,0.4442827866403508
C=1 | lambda_=5 | n_measurements=1024,1.0,5.0,1024,1,0.4444444444444444,0.40307840307840304,0.4444444444444444,0.3999457332790667,0.6880504054371903,0.5131407119491646
C=1 | lambda_=5 | n_measurements=1024,1.0,5.0,1024,2,0.5555555555555556,0.527870680044593,0.5555555555555556,0.489600711822934,0.7520995085182051,0.6083639769538709
C=1 | lambda_=5 | n_measurements=1024,1.0,5.0,1024,3,0.5396825396825397,0.5691222357889024,0.5396825396825397,0.5135473181269047,0.7453771580586314,0.6095315621667029
C=1 | lambda_=5 | n_measurements=1024,1.0,5.0,1024,4,0.5,0.36128241619228335,0.5,0.39711057963405855,0.6497161131005883,0.4934554288702565
C=1 | lambda_=5 | n_measurements=1024,1.0,5.0,1024,5,0.5,0.46609471516815376,0.5,0.43948904519362925,0.6546877452169322,0.48409150364053277
C=10 | lambda_=0.1 | n_measurements=256,10.0,0.1,256,1,0.7619047619047619,0.7745217745217745,0.7619047619047619,0.7648442092886537,0.9126432862200854,0.8416522589974761
C=10 | lambda_=0.1 | n_measurements=256,10.0,0.1,256,2,0.6825396825396826,0.7201465201465201,0.6825396825396826,0.6958060186571717,0.9257349723515137,0.8585639287885685
C=10 | lambda_=0.1 | n_measurements=256,10.0,0.1,256,3,0.7936507936507936,0.8099206349206349,0.7936507936507936,0.7846079846079846,0.8907859217204007,0.7849567936621776
C=10 | lambda_=0.1 | n_measurements=256,10.0,0.1,256,4,0.6612903225806451,0.7006048387096774,0.6612903225806451,0.6621673654487892,0.8885376943646728,0.8033213953521863
C=10 | lambda_=0.1 | n_measurements=256,10.0,0.1,256,5,0.6451612903225806,0.6993401759530792,0.6451612903225806,0.6514556790458118,0.8946428104348702,0.8130356718455749
C=10 | lambda_=0.1 | n_measurements=1024,10.0,0.1,1024,1,0.746031746031746,0.7586487586487587,0.746031746031746,0.7503004607547574,0.9490790468234079,0.903007165404975
C=10 | lambda_=0.1 | n_measurements=1024,10.0,0.1,1024,2,0.7936507936507936,0.8097159118830946,0.7936507936507936,0.7887656907011745,0.9693167158258458,0.9472255732424035
C=10 | lambda_=0.1 | n_measurements=1024,10.0,0.1,1024,3,0.8412698412698413,0.8509986745280862,0.8412698412698413,0.8366911304545712,0.9365477185026058,0.8844076941728911
C=10 | lambda_=0.1 | n_measurements=1024,10.0,0.1,1024,4,0.7258064516129032,0.7543682795698924,0.7258064516129032,0.7275874292559499,0.8905746721439,0.7793201189695149
C=10 | lambda_=0.1 | n_measurements=1024,10.0,0.1,1024,5,0.6935483870967742,0.7917888563049854,0.6935483870967742,0.6998881612633735,0.9137434048322214,0.8572669411111099
C=10 | lambda_=5 | n_measurements=256,10.0,5.0,256,1,0.47619047619047616,0.4999185999185999,0.47619047619047616,0.4796364129697463,0.6416541500045191,0.46546999630981933
C=10 | lambda_=5 | n_measurements=256,10.0,5.0,256,2,0.47619047619047616,0.50843776106934,0.47619047619047616,0.47703222703222703,0.5989657781348992,0.44930506283518656
C=10 | lambda_=5 | n_measurements=256,10.0,5.0,256,3,0.4603174603174603,0.5195598661071806,0.4603174603174603,0.48442924123054243,0.6729662646851934,0.5642043968056241
C=10 | lambda_=5 | n_measurements=256,10.0,5.0,256,4,0.3709677419354839,0.39752362333007496,0.3709677419354839,0.38109237536656887,0.5232163705889826,0.35039917276450244
C=10 | lambda_=5 | n_measurements=256,10.0,5.0,256,5,0.2903225806451613,0.33801843317972347,0.2903225806451613,0.30687606112054333,0.6331169946756291,0.4198672224307978
C=10 | lambda_=5 | n_measurements=1024,10.0,5.0,1024,1,0.3333333333333333,0.34417989417989425,0.3333333333333333,0.330085750775406,0.6535284154354872,0.4867983868860636
C=10 | lambda_=5 | n_measurements=1024,10.0,5.0,1024,2,0.47619047619047616,0.5205144426158919,0.47619047619047616,0.4844310264151427,0.7058135977057706,0.5230555375871629
C=10 | lambda_=5 | n_measurements=1024,10.0,5.0,1024,3,0.5555555555555556,0.62010582010582,0.5555555555555556,0.5769750045612114,0.7662758681503702,0.641236411642314
C=10 | lambda_=5 | n_measurements=1024,10.0,5.0,1024,4,0.3064516129032258,0.2777306168647425,0.3064516129032258,0.28183773216031277,0.4691394384578959,0.32263855666583435
C=10 | lambda_=5 | n_measurements=1024,10.0,5.0,1024,5,0.43548387096774194,0.45374506019667316,0.43548387096774194,0.438647125042637,0.6193803285320919,0.45736156289434987
