tag,n_estimators,learning_rate,max_depth,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4,100,0.01,4,1,0.7118155619596542,0.7420711543193073,0.7118155619596542,0.6966290901111808,0.9439297788974724,0.8720828587903147
n_estimators=500 | learning_rate=0.01 | max_depth=10,500,0.01,10,2,0.9149855907780979,0.9159583963634198,0.9149855907780979,0.9152583787867667,0.9911779235122972,0.9755452937370699
n_estimators=500 | learning_rate=0.01 | max_depth=10,500,0.01,10,3,0.9169068203650336,0.9173726129247673,0.9169068203650336,0.9170959752617324,0.9904843605962451,0.9744962116442978
n_estimators=500 | learning_rate=0.01 | max_depth=10,500,0.01,10,4,0.914505283381364,0.9152553764820174,0.914505283381364,0.914663037569388,0.9904357936018726,0.9739361723999344
n_estimators=500 | learning_rate=0.01 | max_depth=10,500,0.01,10,5,0.8947621335896204,0.8955930427554687,0.8947621335896204,0.8948716253072959,0.9878400297704637,0.9663921315979623
n_estimators=500 | learning_rate=0.1 | max_depth=4,500,0.1,4,1,0.9183477425552353,0.9189373426798084,0.9183477425552353,0.9185178161774866,0.9909207053346472,0.9764870672138884
n_estimators=500 | learning_rate=0.1 | max_depth=4,500,0.1,4,2,0.9154658981748319,0.9159653698745551,0.9154658981748319,0.9156347230085711,0.9912484588743733,0.975834060522013
n_estimators=500 | learning_rate=0.1 | max_depth=4,500,0.1,4,3,0.914505283381364,0.9146871052584616,0.914505283381364,0.9145902804057939,0.9908367631332528,0.9747146099206055
n_estimators=500 | learning_rate=0.1 | max_depth=4,500,0.1,4,4,0.9130643611911623,0.9136757374887151,0.9130643611911623,0.9131880578300324,0.9911793726991313,0.9752895589138386
n_estimators=500 | learning_rate=0.1 | max_depth=4,500,0.1,4,5,0.9038923594425757,0.9054083844105678,0.9038923594425757,0.9042931085838349,0.9880861566378621,0.9671287305910449
n_estimators=500 | learning_rate=0.1 | max_depth=10,500,0.1,10,1,0.9217098943323727,0.9222273971749532,0.9217098943323727,0.9218097195352339,0.9914722117514025,0.9766737203985053
n_estimators=500 | learning_rate=0.1 | max_depth=10,500,0.1,10,2,0.914505283381364,0.9146202998479389,0.914505283381364,0.9145269808965905,0.9909815649287076,0.975144318083343
n_estimators=500 | learning_rate=0.1 | max_depth=10,500,0.1,10,3,0.9212295869356388,0.9216582920264761,0.9212295869356388,0.9214118493670208,0.991254464740825,0.9760713773359223
n_estimators=500 | learning_rate=0.1 | max_depth=10,500,0.1,10,4,0.9125840537944284,0.9132134313724248,0.9125840537944284,0.9127414864393651,0.9902927329571675,0.9735624030360318
n_estimators=500 | learning_rate=0.1 | max_depth=10,500,0.1,10,5,0.897164824603556,0.8970416229576976,0.897164824603556,0.8970839692846617,0.9886628154336766,0.967874457854183
