tag,iterations,depth,learning_rate,l2_leaf_reg,fold,accuracy,precision,recall,F1,auroc,prauc
iterations=100 | depth=4 | learning_rate=0.01 | l2_leaf_reg=1,100,4,0.01,1,1,0.6796349663784822,0.6853555058902208,0.6796349663784822,0.647142808018815,0.8947815255305722,0.7721976998222947
iterations=500 | depth=4 | learning_rate=0.01 | l2_leaf_reg=5,500,4,0.01,5,5,0.7842383469485824,0.7929658666844911,0.7842383469485824,0.7770674950512488,0.9515595123399258,0.8856990629720983
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,500,4,0.1,1,1,0.8986551392891451,0.9001642002471077,0.8986551392891451,0.8990402127706755,0.9873971300314679,0.968394101211852
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,500,4,0.1,1,2,0.9034582132564841,0.9044017656255239,0.9034582132564841,0.9035228163160838,0.9883793714463565,0.9696834082182098
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,500,4,0.1,1,3,0.9048991354466859,0.9058031752422571,0.9048991354466859,0.9051260183501406,0.988436942387563,0.9692132376049488
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,500,4,0.1,1,4,0.9135446685878963,0.9144221286127878,0.9135446685878963,0.9137652463357099,0.98908086841814,0.9712708529841697
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=1,500,4,0.1,1,5,0.8822681403171552,0.883337578300078,0.8822681403171552,0.882411010557962,0.9842017619034471,0.9575729618376059
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,500,4,0.1,5,1,0.8871277617675313,0.8887043921133456,0.8871277617675313,0.8875660489296294,0.9854721854112231,0.9636948920205692
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,500,4,0.1,5,2,0.9039385206532181,0.9052404185069398,0.9039385206532181,0.903973037824903,0.9867936589277417,0.9657875300102517
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,500,4,0.1,5,3,0.9010566762728146,0.9015856559572488,0.9010566762728146,0.9011423492820172,0.9873151846798617,0.9662566741780161
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,500,4,0.1,5,4,0.8986551392891451,0.8995341440493622,0.8986551392891451,0.8989001897297392,0.9872505902026063,0.9667379842987857
iterations=500 | depth=4 | learning_rate=0.1 | l2_leaf_reg=5,500,4,0.1,5,5,0.8793849111004325,0.880790048450301,0.8793849111004325,0.8795425497383749,0.9824940657040243,0.953690059542632
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,500,10,0.01,1,1,0.8818443804034583,0.8837060112431702,0.8818443804034583,0.8819495538364319,0.9838925825294896,0.9579663410955752
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,500,10,0.01,1,2,0.8890489913544669,0.8913810051816448,0.8890489913544669,0.8890000558522595,0.9852635048405908,0.9602382881692499
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,500,10,0.01,1,3,0.8928914505283382,0.8930034294784134,0.8928914505283382,0.8924513486593855,0.9870465587276575,0.9641623784308816
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,500,10,0.01,1,4,0.8996157540826129,0.9000755724401244,0.8996157540826129,0.8993804895394849,0.9869685727386164,0.9648047561178825
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=1,500,10,0.01,1,5,0.8630466122056704,0.864912830392841,0.8630466122056704,0.8628493293971492,0.9814565394479411,0.9512821898451842
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,500,10,0.01,5,1,0.8640730067243035,0.8655036460925426,0.8640730067243035,0.8638274680647376,0.9812095042471425,0.9508640899210005
iterations=500 | depth=10 | learning_rate=0.01 | l2_leaf_reg=5,500,10,0.01,5,2,0.8784822286263209,0.880322954693367,0.8784822286263209,0.878191990968443,0.9826952434073285,0.9533328419206177
