tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6952380952380952,0.7273202614379085,0.6952380952380952,0.6734693877551021,0.9387712180721388,0.8733516045081388
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,1,0.5047619047619047,0.7068041237113402,0.5047619047619047,0.3944682618968333,0.6618553404792679,0.5215168910190309
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,2,0.47115384615384615,0.5159313725490196,0.47115384615384615,0.3208430132507314,0.6821980321593325,0.5522444605739625
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,3,0.46153846153846156,0.31881598793363497,0.46153846153846156,0.30279814145585954,0.6820497017220444,0.52252641657879
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,4,0.46153846153846156,0.537557121096725,0.46153846153846156,0.3170469507969508,0.68483685121972,0.5099709586171879
n_estimators=100 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,100,0.01,10,5.0,,5,0.4519230769230769,0.4939102564102563,0.4519230769230769,0.3080967482640296,0.6508093138722717,0.4912790267715605
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,1,0.780952380952381,0.7816650469711693,0.780952380952381,0.7790233158654211,0.9349275265797433,0.8706197022094817
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,2,0.8076923076923077,0.8107060185185185,0.8076923076923077,0.8006290001469782,0.9696948347490143,0.9245704105986037
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,3,0.9230769230769231,0.9265544871794872,0.9230769230769231,0.9214965220949263,0.9940970660268905,0.9832385991965377
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,4,0.8557692307692307,0.8623215326340327,0.8557692307692307,0.8574322097730911,0.9732018793422303,0.9456080048475942
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.1,4,0.1,,5,0.8557692307692307,0.8585358391608391,0.8557692307692307,0.8513417546505782,0.9756569683369443,0.9587611571476826
n_estimators=100 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,100,0.1,4,5.0,,1,0.5333333333333333,0.5014399571361596,0.5333333333333333,0.46499127260660367,0.6358973178682314,0.4814274746733858
