tag,C,class_weight,decision_function_shape,tol,gamma,coef0,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=0,0.1,balanced,ovr,0.1,1.0,0,5,0.13214800576645844,0.23517641670859799,0.13214800576645844,0.15645175418339616,0.6317944101356645,0.43045640710564836
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=1,0.1,balanced,ovr,0.1,1.0,1,1,0.11527377521613832,0.2283626666411719,0.11527377521613832,0.12889785631594608,0.632826661428358,0.4553413060461378
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=1,0.1,balanced,ovr,0.1,1.0,1,2,0.12343900096061479,0.23749293560418708,0.12343900096061479,0.13383436943185675,0.6332206312798196,0.45292744430454646
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=1,0.1,balanced,ovr,0.1,1.0,1,3,0.09269932756964457,0.20511634906481205,0.09269932756964457,0.09919318460988145,0.6581920947730878,0.4705085050964598
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=1,0.1,balanced,ovr,0.1,1.0,1,4,0.10951008645533142,0.253156613243461,0.10951008645533142,0.1161414933024567,0.634909198032759,0.46822047427471064
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=1,0.1,balanced,ovr,0.1,1.0,1,5,0.142239308024988,0.23549677866006102,0.142239308024988,0.13466952875653024,0.648408381992164,0.4589938433221626
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=5,0.1,balanced,ovr,0.1,1.0,5,1,0.09558117195004803,0.20136478051568585,0.09558117195004803,0.10564275709003654,0.5867175443354088,0.41757384127160124
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=5,0.1,balanced,ovr,0.1,1.0,5,2,0.09606147934678194,0.2344837557891087,0.09606147934678194,0.10452130709432535,0.5994066525500767,0.42838784253860257
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=5,0.1,balanced,ovr,0.1,1.0,5,3,0.08501440922190202,0.2058496477895324,0.08501440922190202,0.08951291479927866,0.6256242596404838,0.43917151878372734
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=1 | coef0=5,0.1,balanced,ovr,0.1,1.0,5,4,0.09125840537944284,0.22193302246986227,0.09125840537944284,0.1052197976696456,0.6117731020351902,0.3904121643198846
