tag,C,class_weight,decision_function_shape,tol,gamma,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1 | gamma=0.01,0.1,balanced,ovr,0.1,0.01,1,0.4015369836695485,0.5111745597601757,0.4015369836695485,0.38886513984370186,0.7406108857704483,0.5152063834654118
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,,ovr,0.1,0.1,2,0.7204610951008645,0.7298006523268586,0.7204610951008645,0.7085465899153519,0.9206279395333385,0.8270064072624231
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,,ovr,0.1,0.1,3,0.7262247838616714,0.7358189319422153,0.7262247838616714,0.7134334320270553,0.9273526662345329,0.839635802520443
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,,ovr,0.1,0.1,4,0.6983669548511047,0.7102113938835954,0.6983669548511047,0.6829799209659136,0.9192841266311708,0.8158694389476543
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=0.1,0.1,,ovr,0.1,0.1,5,0.7044690052859203,0.7152072830047825,0.7044690052859203,0.6928187465594252,0.9132939511199316,0.8092338834823969
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,,ovr,0.1,1.0,1,0.8688760806916427,0.8700368968872216,0.8688760806916427,0.868783954457559,0.9783434505133155,0.9414506822908537
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,,ovr,0.1,1.0,2,0.8808837656099904,0.8826874757645284,0.8808837656099904,0.8810026518043917,0.9804413660186693,0.9442616169434107
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,,ovr,0.1,1.0,3,0.8871277617675313,0.8882120431127769,0.8871277617675313,0.8870115272949222,0.9825120637615792,0.950732351604434
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,,ovr,0.1,1.0,4,0.8731988472622478,0.8732322190389687,0.8731988472622478,0.8729969744002948,0.9805003207784577,0.9462036024123681
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1 | gamma=1,0.1,,ovr,0.1,1.0,5,0.857760691975012,0.8598100791258141,0.857760691975012,0.8576579589125082,0.9768399970820921,0.9351122781012327
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,,ovr,1.0,0.01,1,0.5629202689721422,0.6262909506466439,0.5629202689721422,0.49581628917947845,0.6717260719363677,0.46504711991138165
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,,ovr,1.0,0.01,2,0.5557156580211335,0.6309727435360537,0.5557156580211335,0.48376732726236066,0.6785828019711202,0.46639009070288673
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,,ovr,1.0,0.01,3,0.5259365994236311,0.6405168958152758,0.5259365994236311,0.4331623861699835,0.6753745795820486,0.4556017531267078
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,,ovr,1.0,0.01,4,0.531700288184438,0.6293450620938847,0.531700288184438,0.4415347735664052,0.6689922861686104,0.44355573949162885
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.01,0.1,,ovr,1.0,0.01,5,0.513695338779433,0.43927616020131194,0.513695338779433,0.39940668770820276,0.6839883312277251,0.4835523733462835
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,,ovr,1.0,0.1,1,0.7190201729106628,0.7376100675985301,0.7190201729106628,0.706156325741174,0.8874976393502455,0.7699608313331192
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,,ovr,1.0,0.1,2,0.7170989433237271,0.7279433016256069,0.7170989433237271,0.7030765602852738,0.8958113785252935,0.7680402346279321
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,,ovr,1.0,0.1,3,0.7113352545629202,0.7302900542491545,0.7113352545629202,0.6981680815230057,0.8995196040854808,0.7872092058963341
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,,ovr,1.0,0.1,4,0.7055715658021133,0.7250620476725487,0.7055715658021133,0.6911292853763761,0.8931989382834591,0.7620131142683557
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=0.1,0.1,,ovr,1.0,0.1,5,0.7092743873137914,0.7256376714497075,0.7092743873137914,0.6986785931585396,0.8893621489145401,0.75351035978015
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=1,0.1,,ovr,1.0,1.0,1,0.8722382324687801,0.8727374533359505,0.8722382324687801,0.8715088553924384,0.9734044218580178,0.9310934381170879
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=1,0.1,,ovr,1.0,1.0,2,0.8842459173871278,0.8844736658896228,0.8842459173871278,0.8835390342921888,0.975628141111866,0.928740170017496
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=1,0.1,,ovr,1.0,1.0,3,0.8837656099903939,0.883090686312967,0.8837656099903939,0.8825512412350018,0.9765758272880625,0.934101142556799
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=1,0.1,,ovr,1.0,1.0,4,0.8751200768491835,0.87465609672699,0.8751200768491835,0.8742790218596115,0.9726154314567389,0.928143417220143
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1 | gamma=1,0.1,,ovr,1.0,1.0,5,0.857760691975012,0.858549761916423,0.857760691975012,0.8560133554053538,0.9709002250451645,0.9217047051994129
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,,ovr,10.0,0.01,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,,ovr,10.0,0.01,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,,ovr,10.0,0.01,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,,ovr,10.0,0.01,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.01,0.1,,ovr,10.0,0.01,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,,ovr,10.0,0.1,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,,ovr,10.0,0.1,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,,ovr,10.0,0.1,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,,ovr,10.0,0.1,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=0.1,0.1,,ovr,10.0,0.1,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=1,0.1,,ovr,10.0,1.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=1,0.1,,ovr,10.0,1.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=1,0.1,,ovr,10.0,1.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=1,0.1,,ovr,10.0,1.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10 | gamma=1,0.1,,ovr,10.0,1.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
