tag,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=0.5,100,0.1,10,0.5,0.5,1,0.7670509125840538,0.7644827978158354,0.7670509125840538,0.7638926925442302,0.9316078465876417,0.8380324188861117
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,500,0.1,10,0.5,1.0,2,0.9221902017291066,0.9224718146711355,0.9221902017291066,0.922308794911613,0.9908228654968775,0.9749957955370676
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,500,0.1,10,0.5,1.0,3,0.920268972142171,0.920681824073554,0.920268972142171,0.920444888613403,0.9908004339421544,0.9750182044872273
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,500,0.1,10,0.5,1.0,4,0.9164265129682997,0.9169557790573316,0.9164265129682997,0.9165739391265918,0.9893732088110082,0.9708579586597866
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=0.5 | colsample_bytree=1,500,0.1,10,0.5,1.0,5,0.9019702066314272,0.9020674266477684,0.9019702066314272,0.9018990005385971,0.9885382342606582,0.9675128521275896
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,500,0.1,10,1.0,0.5,1,0.7800192122958693,0.7795030173611667,0.7800192122958693,0.779680286698221,0.9371538595503088,0.8536300045496665
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,500,0.1,10,1.0,0.5,2,0.7737752161383286,0.7740535448052651,0.7737752161383286,0.7738141304751285,0.9354384951315634,0.8514168333290594
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,500,0.1,10,1.0,0.5,3,0.7718539865513929,0.7703035928487574,0.7718539865513929,0.7701934716895973,0.9341462235862831,0.8437518511133291
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,500,0.1,10,1.0,0.5,4,0.7756964457252642,0.7760676560066965,0.7756964457252642,0.7756748659663154,0.9346875022950956,0.8416336571329709
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=0.5,500,0.1,10,1.0,0.5,5,0.7558865929841423,0.755058755417336,0.7558865929841423,0.7552073424951649,0.9279550664612579,0.8255146850886597
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,500,0.1,10,1.0,1.0,1,0.9221902017291066,0.9225331443057396,0.9221902017291066,0.9222034618880008,0.9917407524506998,0.9771296158104109
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,500,0.1,10,1.0,1.0,2,0.9183477425552353,0.9184421000452276,0.9183477425552353,0.9183557737464625,0.9908957464907318,0.9752281796883561
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,500,0.1,10,1.0,1.0,3,0.9217098943323727,0.9219427511495529,0.9217098943323727,0.9218139834071957,0.9912649888282618,0.9758187559070128
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,500,0.1,10,1.0,1.0,4,0.9135446685878963,0.9141832586349949,0.9135446685878963,0.9136952875204134,0.9904105620412796,0.9736149912329857
n_estimators=500 | learning_rate=0.1 | max_depth=10 | subsample=1 | colsample_bytree=1,500,0.1,10,1.0,1.0,5,0.9019702066314272,0.9020141622819133,0.9019702066314272,0.9019860787336429,0.9889750986894587,0.9683012383166935
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,500,0.1,20,0.5,0.5,1,0.7723342939481268,0.7722021091215397,0.7723342939481268,0.7722167624161576,0.935290948993746,0.8499456690478389
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,500,0.1,20,0.5,0.5,2,0.766090297790586,0.766419000536474,0.766090297790586,0.7661698482492482,0.9326771845916407,0.8471346969955932
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,500,0.1,20,0.5,0.5,3,0.7723342939481268,0.7707285271697527,0.7723342939481268,0.7705663791178206,0.9316477904585857,0.8380571099938725
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,500,0.1,20,0.5,0.5,4,0.7689721421709894,0.770010129037392,0.7689721421709894,0.7693199828341362,0.9317861612461255,0.8355471189626359
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=0.5,500,0.1,20,0.5,0.5,5,0.7501201345506968,0.7494080905829549,0.7501201345506968,0.7494093029351659,0.9256143056953715,0.8207828814857251
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,500,0.1,20,0.5,1.0,1,0.9245917387127762,0.9246944783535429,0.9245917387127762,0.9246125321180905,0.9914384687409402,0.977350851487453
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,500,0.1,20,0.5,1.0,2,0.920749279538905,0.9210282592373644,0.920749279538905,0.9208685296782396,0.9905894499384884,0.9743858503030767
n_estimators=500 | learning_rate=0.1 | max_depth=20 | subsample=0.5 | colsample_bytree=1,500,0.1,20,0.5,1.0,3,0.9183477425552353,0.9189460020537247,0.9183477425552353,0.9185979187937583,0.9909093084949911,0.9752531154521649
