paradigm,model,config,acc,precision,recall,f1,mcc,auroc,prauc,composite,gap_f1,train_f1
Quantum,QSVC-linear_cosine,QSVC-linear_cosine_R1_C1_pca12,0.8967944674112976,0.9126742948433592,0.8188541081786258,0.8414211621201236,0.8520869457543917,0.9881397803112906,0.9485792930020284,0.9053479759997826,0.1584975483838222,0.999918710503946
Quantum,QCAT-circular,QCAT-circular_R1_depth6_pca12,0.8829809582601452,0.8576214946918732,0.8711149921111183,0.855438892626284,0.8338920012910606,0.9812756416090446,0.9299302548632372,0.9007717160450172,0.1426535804947277,0.9980924731210118
Quantum,QSVC-linear_polynomial4,QSVC-linear_polynomial4_R1_C1_pca12,0.883609023365781,0.8885791619884541,0.829540448838673,0.8491962288434649,0.8330549928448681,0.9799772570478964,0.9272588209172792,0.897660848727726,0.149876566116899,0.999072794960364
Quantum,QSVC-circular_polynomial4,QSVC-circular_polynomial4_R1_C1_pca12,0.8829348674409745,0.8879823327418798,0.8289919625420831,0.8486105611833545,0.8321235448802028,0.9796749169471608,0.9262211359942704,0.8969644898725755,0.1504299555357834,0.999040516719138
Quantum,QXGB-full,QXGB-full_R1_md6_pca12,0.8815869408634377,0.8864710131471911,0.8292616868322946,0.8490766956036527,0.8299873472235527,0.9798899982850446,0.9240871525941876,0.8960525072698723,0.1509233043963472,1.0
Quantum,QSVC-circular_quadratic,QSVC-circular_quadratic_R1_C10_pca12,0.8887180301016974,0.9005207267055872,0.8131165244551702,0.8393832880501615,0.8403944961503402,0.9827908425038344,0.9264245296076464,0.8953350219109927,0.1606167119498385,1.0
Quantum,QSVC-linear_quadratic,QSVC-linear_quadratic_R1_C10_pca12,0.8887180301016974,0.9005207267055872,0.8131165244551702,0.8393832880501615,0.8403944961503402,0.9829377558166872,0.9261200633387732,0.8952335331547016,0.1606167119498385,1.0
Quantum,QSVC-reup_ent_full,QSVC-reup_ent_full_R1_C10_pca12,0.8495171527759933,0.847897186808493,0.8711148913371499,0.853543204506189,0.7908594361601333,0.9754061819741444,0.9338263022269492,0.8942664082710682,0.1106471535704516,0.9641903580766408
Quantum,QSVC-circular_polynomial,QSVC-circular_polynomial_R1_C1_pca12,0.8867209683434233,0.8961590504440421,0.8106724399342837,0.8380713260967101,0.8369429622819361,0.981417580404765,0.9230326141187511,0.8931918071188097,0.1610136616380937,0.9990849877348038
Quantum,QSVC-linear_polynomial,QSVC-linear_polynomial_R1_C1_pca12,0.8869136941650971,0.8962867394908367,0.8100099383057797,0.8374742428006557,0.8372128947369861,0.9814920609141468,0.9234688730273944,0.8931831877321811,0.1615566883629219,0.9990309311635776
Quantum,QXGB-circular,QXGB-circular_R1_md6_pca12,0.8832458347906987,0.8746942559953282,0.8227944867896746,0.8404737217758507,0.832306423572702,0.9792330753678756,0.919389565615867,0.8920054997260228,0.1595262782241493,1.0
Quantum,QXGB-linear,QXGB-linear_R1_md6_pca12,0.8817745655246612,0.8719528430880296,0.8242064614959677,0.8400242612656031,0.8302875156754037,0.9798443563761308,0.920785365672929,0.8919844615920779,0.1599757387343968,1.0
Quantum,QCAT-full,QCAT-full_R1_depth6_pca12,0.8772521805027702,0.8345607950664713,0.8494051806605016,0.835087014101274,0.8258972665307958,0.9825277938611382,0.9180142870887698,0.8886833114851472,0.1620917438361445,0.9971787579374184
Quantum,QSVC-full_quadratic,QSVC-full_quadratic_R1_C10_pca12,0.881212091652492,0.8917333943007277,0.7970580799573923,0.8209661747278838,0.8304042484229909,0.9778193955994008,0.9178212983250678,0.8846631990881489,0.1790176578384579,0.9999838325663416
Quantum,QCAT-linear,QCAT-linear_R1_depth6_pca8,0.8692479730734695,0.8323448033915504,0.8499696970109559,0.8356203538068023,0.813599042902255,0.976124100497506,0.909022923201636,0.8838142661531886,0.1622584256489397,0.997878779455742
Classical,SVC-poly,SVC-poly_R1_C10_d3_g0.1_pca12,0.8278388133865908,0.8020270659870332,0.8663807667819354,0.8229010038350733,0.7658315718309603,0.959128828702314,0.8919583408181418,0.8659250435228985,0.1576859981432937,0.980587001978367
Quantum,QSVC-full_polynomial,QSVC-full_polynomial_R1_C10_pca12,0.8599337044285933,0.8438326527843097,0.7771430121282569,0.7995239023607985,0.7984207485780441,0.969391940877424,0.8729198707766344,0.8572180491421516,0.2003952602528622,0.9999191626136608
Quantum,QSVC-full_polynomial4,QSVC-full_polynomial4_R1_C10_pca12,0.8378874301994289,0.7942714512341487,0.7435792978831218,0.758772210433279,0.7660390623980613,0.9567881244838908,0.823726108288921,0.821839283307077,0.2410174943140147,0.9997897047472938
Quantum,QSVC-reup_ent_circular,QSVC-reup_ent_circular_R1_C10_pca12,0.7456916865519456,0.754032426672626,0.7744953000891892,0.7493287808633662,0.6551917611446194,0.941464539717842,0.8538664640957971,0.8102637085104911,0.1377634898264836,0.8870922706898499
Quantum,QSVC-reup_ent_linear,QSVC-reup_ent_linear_R1_C10_pca12,0.7378127306968643,0.744927371900481,0.7695622397255388,0.7436589152659353,0.6435051408887101,0.9353268097727314,0.8409980814328278,0.8021365223810394,0.1359912393280139,0.8796501545939492
Classical,SVC-linear,SVC-linear_R1_C100_pca12,0.5377614327386182,0.5006102895704184,0.6186144823030986,0.5029328874693038,0.4019616042609717,0.8681476790142921,0.6203008697630942,0.608071519787628,0.1177064809987868,0.6206393684680906
Classical,SVC-sigmoid,SVC-sigmoid_R1_C1_g0.01_pca12,0.4755178449252213,0.4553143595296364,0.5720319234875879,0.4241416377403685,0.3466997051940233,0.8312970124849762,0.4945738466395536,0.5306884456589779,0.0928743834459173,0.5170160211862859
Quantum,QSVC-x_full,QSVC-x_full_R1_C10_pca3,0.1729942160473956,0.0345988432094791,0.2,0.0537232179595545,0.0,0.4989877374564131,0.2024404169273622,0.2520545449623056,0.000432587699521,0.0541558056590755
